競選 (VC)	1555
時 (Ng)	1553
青年 (Na)	1548
主張 (Na)	1544
努力 (VH)	1542
中央 (Nc)	1539
二 (Neu)	1538
後 (D)	1536
事件 (Na)	1535
走 (VA)	1527
國會 (Nb_ORGANIZATION)	1514
決議 (Na)	1496
ECFA (FW)	1495
委員 (Na)	1488
不要 (D)	1487
希望 (Na)	1486
台 (Na)	1481
過程 (Na)	1480
機會 (Na)	1478
團結 (VHC)	1476
期待 (VK)	1471
一定 (D)	1467
這 (Dfa)	1457
1 (Neu)	1453
主委 (Na)	1449
所以 (Cbb)	1443
接受 (VC)	1442
台北 (Nc_LOCATION)	1441
文 (Na)	1441
產 (Na)	1438
這樣 (VH)	1437
則 (D)	1436
目前 (Nd_DATE)	1431
任何 (Neqa)	1428
非常 (Dfa)	1427
無法 (D)	1426
委員會 (Nc)	1416
的 (T)	1415
給 (P)	1408
召開 (VC)	1396
歷史 (Na)	1394
不會 (D)	1393
以 (Cba)	1392
上 (Ncd)	1385
將 (P)	1385
造成 (VG)	1380
項 (Nf)	1367
立法院 (Nb_ORGANIZATION)	1352
美國 (Nc_LOCATION)	1349
未 (D)	1349
執 (VC)	1349
中 (Nc)	1340
全國 (Nb)	1337
並 (Cbb)	1334
發言人 (Na)	1332
高雄 (Nc_LOCATION)	1330
族群 (Na)	1329
縣長 (Na)	1324
今日 (Nd_DATE)	1324
是否 (D)	1323
3 (Neu)	1319
制度 (Na)	1314
原住民 (Na)	1310
通過 (VC)	1302
2 (Neu)	1300
成立 (VC)	1300
游錫 (Nb_PERSON)	1299
和平 (VH)	1296
價值 (Na)	1290
只 (Da)	1290
請 (VF)	1287
選民 (Na)	1285
擔任 (VG)	1278
戰 (Na)	1276
前 (Ng)	1266
公平 (VH)	1266
時間 (Na)	1265
提名 (Na)	1262
最後 (Nd_DATE)	1256
上 (Di)	1254
人權 (Na)	1250
自由 (Na)	1250
小 (VH)	1250
化 (VH)	1249
鄉 (Nc)	1245
全 (Neqa)	1242
透過 (P)	1238
相信 (VK)	1236
支持 (Na)	1230
黨員 (Na)	1227
小組 (Na)	1226
制 (Na)	1225
堅持 (VK)	1223
第二 (Neu)	1221
報告 (Na)	1216
％ (UNITCATEGORY)	1213
前 (A)	1198
委 (Na)	1196
說明 (Na)	1195
跟 (P)	1194
副 (A)	1187
若 (Cbb)	1185
立場 (Na)	1184
意見 (Na)	1183
所有 (Neqa)	1167
完成 (VC)	1166
個 (DE)	1158
可 (D)	1152
大選 (Na)	1151
下 (Ng)	1146
; (SEMICOLONCATEGORY)	1146
預算 (Na)	1146
各 (D)	1134
下 (Di)	1134
利益 (Na)	1133
記者會 (Na)	1125
一起 (D)	1119
會議 (Na)	1119
世界 (Nc)	1106
地 (Na)	1102
組織 (Na)	1098
甚至 (D)	1091
特別 (VH)	1090
照顧 (VC)	1088
高 (VH)	1087
階段 (Na)	1086
同志 (Na)	1085
完全 (D)	1083
力量 (Na)	1078
向 (D)	1077
尊重 (VJ)	1071
仍 (D)	1069
此外 (Cbb)	1064
等 (VC)	1064
資源 (Na)	1062
嚴重 (VH)	1058
行政院 (Nb_ORGANIZATION)	1058
遊行 (VA)	1058
和 (P)	1054
很多 (Neqa)	1054
黨團 (Na)	1052
結果 (Na)	1048
鄉親 (Na)	1048
於 (Nb)	1043
且 (Cbb)	1041
失業 (VH)	1040
以來 (Ng)	1039
著 (Di)	1035
又 (D)	1031
決定 (Na)	1030
反 (D)	1026
個人 (Na)	1025
事實 (Na)	1021
建立 (VC)	1016
生活 (Na)	1014
中央黨部 (Nb)	1014
使 (VL)	1011
其他 (Neqa)	1006
質疑 (VE)	1006
進步 (VH)	1005
公開 (VHC)	1004
協商 (VE)	1003
部 (Na)	1002
出席 (VC)	992
縣市 (Nc)	991
用 (P)	986
許多 (Neqa)	981
持續 (VL)	981
去 (D)	981
內 (Ncd)	979
女性 (Na)	975
多 (A)	972
三 (D)	971
權 (Na)	970
of (FW)	968
解決 (VC)	963
感謝 (VK)	963
安全 (VH)	958
總部 (Nc)	952
建設 (Na)	951
婦女 (Na)	945
能力 (Na)	945
執行 (VC)	942
才能 (Na)	939
天 (Nf)	937
舉辦 (VC)	935
事情 (Na)	930
農業 (Na)	929
繼續 (VF)	926
常委 (Na)	925
行動 (Na)	924
客家 (Na)	923
五 (Neu)	923
黨部 (Nc)	922
需要 (Na)	917
並 (Caa)	915
院長 (Na)	915
提名 (VC)	914
十 (Neu)	914
and (FW)	912
合作 (VH)	911
協議 (Na)	911
民意 (Na)	908
除了 (P)	907
積極 (VH)	902
月 (Na)	901
期間 (Na)	897
勞工 (Na)	896
蘇貞昌 (Nb_PERSON)	896
先生 (Na)	890
5 (Neu)	887
增加 (VHC)	887
當選 (VG)	887
陳 (Nb)	887
台灣人 (Na)	884
受到 (VJ)	881
說法 (Na)	881
連戰 (Nb_PERSON)	881
教育 (Na)	877
精神 (Na)	876
規定 (Na)	875
行政 (Na)	874
無 (VJ)	873
參加 (VC)	873
條例 (Na)	870
作為 (Na)	869
土地 (Na)	868
條 (Nf)	867
影響 (Na)	866
加入 (VC)	866
今年 (Nd_DATE)	863
兩 (Nd_DATE)	863
正義 (Na)	863
內容 (Na)	859
地區 (Nc)	858
新 (Na)	856
討論 (Na)	855
因 (Cbb)	855
目標 (Na)	853
什麼 (Nep)	851
機 (Na)	850
看 (VC)	847
知道 (VK)	847
市場 (Nc)	847
